id;training_name;training_date;validity_period;next_training_date
1;advocate;2025-03-19;17411;2025-03-20
2;lobster solidly surprisingly;2025-03-20;13600;2025-03-20
3;why shimmering a;2025-03-19;29555;2025-03-19
4;through duh ordinary;2025-03-19;17224;2025-03-19
5;absentmindedly;2025-03-20;12067;2025-03-19
6;consequently;2025-03-19;30141;2025-03-19
7;that illusion across;2025-03-19;32574;2025-03-20
8;musty once;2025-03-19;14960;2025-03-19
9;whether rectangular lovable;2025-03-19;26530;2025-03-19
10;apropos;2025-03-19;17976;2025-03-19
